Pub_Name,A_Name
Perseus Publishing,Albert-L szlÂ¢ Barab si
Back Bay Books,Alice Sebold
Little Brown & Company,Alice Sebold
Gibbs Smith Publisher,Allison Arieff
Little Brown & Company,Andrew Gross
Taunton Pr,Andy Rae
Lark Books,Andy Rae
Macromedia Press,Angela C. Buraglia
Perennial,Ann Patchett
Harvest Books,Ann Patchett
Harperperennial Library,Ann Patchett
Morgan Kaufmann,B. J. Fogg
Macromedia Press,Ben Forta
"Donald M. Grant Publisher, Inc.",Bernie Wrightson
Sybex,Biju Thomas
McGraw-Hill Osborne Media,Bill Mann
McGraw-Hill Osborne Media,Brian Knight
Gibbs Smith Publisher,Bryan Burkhart
Ballantine Books,Carl Sagan
Random House,Carl Sagan
Pocket Books,Carl Sagan
John Wiley & Sons,Cassandra Adams
Crown Pub,Charles Burck
Sybex,Chip Dawes
Vendome Pr,Christine Bastin
Doubleday,Chuck Palahniuk
Prentice Hall,Daniel W. Collins
Multnomah Publishers Inc.,Dee Henderson
Scribner,Don DeLillo
Penguin USA,Don DeLillo
Vintage Books,Don DeLillo
Scribner Paperback Fiction,Don DeLillo
John Wiley & Sons,Donald E. Kieso
Clarkson N. Potter,Donald Kaufman
Sybex,Doug Stuns
Random House,Edward Osborne Wilson
Knopf,Edward Osborne Wilson
W.W. Norton & Company,Edward Osborne Wilson
Harvard Univ Pr,Edward Osborne Wilson
Morgan Kaufmann,Eibe Frank
John Wiley & Sons,Francis D. K. Ching
O'Reilly & Associates,Gerald Carter
Vendome Pr,Gerard Gefen
Fireside,Harold McGee
Morgan Kaufmann,Ian H. Witten
Anchor Books,Ian McEwan
HarperCollins,Jacquelyn Mitchard
Vendome Pr,Jacques Evrard
Little Brown & Company,James Patterson
McGraw-Hill Trade,Jay P. Decima
Simon & Schuster,Jeffery Deaver
MIT Press,Jeffrey M. Wooldridge
South-Western College Pub,Jeffrey M. Wooldridge
John Wiley & Sons,Jerry J. Weygandt
Sybex,Joseph C. Johnson
Taunton Pr,Joseph Truini
Dell Pub Co,Karen Marie Moning
Prentice Hall PTR,Ken Coffman
Sybex,Ken Getz
Addison-Wesley Pub Co,Ken Henderson
Crown Pub,Larry Bossidy
Clarkson N. Potter,Laurel Graeber
Berkley Pub Group,Laurell K. Hamilton
Prentice Hall,Lawrence Revsine
Random House Trade Paperbacks,Lee McAlester
Macromedia Press,Leon Chalnick
Taunton Pr,Leslie Plummer Clagett
John Wiley & Sons,Margy Ross
McGraw-Hill/Irwin,Mark Grinblatt
Pantheon Books,Mark Z. Danielewski
Simon & Schuster,Mary Higgins Clark
St. Martin's Press,Matthew Delaney
Sybex,Matthew Weishan
Picador,Michael Cunningham
McGraw-Hill Osborne Media,Michael Meyers
Del Rey,Michael Romkey
Sybex,Mike Gunderloy
Macromedia Press,Nate Weiss
Warner Books,Nicholas Sparks
Putnam Pub Group,Nora Roberts
Silhouette,Nora Roberts
Harlequin,Nora Roberts
Putnam Pub Group,Nora Roberts
Jossey-Bass,Patrick Lencioni
Addison-Wesley Publishing,Paul DuBois
Sybex,Paul Litwin
South-Western College Pub,Paul Marcus Fischer
O'Reilly & Associates,Rael Dornfest
John Wiley & Sons,Ralph Kimball
Gibbs Smith Publisher,Ralph R. Kylloe
Crown Pub,Ram Charan
Addison-Wesley Publishing,Ramez A. Elmasri
South-Western College Pub,Rita Hartung Cheng
Wrox Press Inc,Rob Vieira
McGraw-Hill/Irwin,Robert C. Higgins
"Schmidt Ink, Inc.",Robert D. Schmidt
St. Martin's Press,Roma Ligocka
New Riders Publishing,Scott Kelby
Addison-Wesley Publishing,Shamkant B. Navathe
McGraw-Hill/Irwin,Sheridan Titman
MIT Press,Simon Benninga
Pocket Books,Stephen King
"Donald M. Grant Publisher, Inc.",Stephen King
Pocket Books,Stephen King
"Wolfram Media, Inc.",Stephen Wolfram
John Wiley & Sons,Steven J. Root
Viking Press,Steven Pinker
W.W. Norton & Company,Steven Pinker
Perennial,Steven Pinker
Penguin USA,Sue Monk Kidd
Harlequin,Suzanne Brockmann
Clarkson N. Potter,Taffy Dahl
O'Reilly & Associates,Tara Calishain
John Wiley & Sons,Terry D. Warfield
Harper,Terry Pratchett
Clarkson N. Potter,Tina Freeman
Random House Trade Paperbacks,Virginia McAlester
Prentice Hall,W. Bruce Johnson
South-Western College Pub,William James Taylor
Picador,Wladyslaw Szpilman