Book_ISBN,A_Name
60502935,Terry Pratchett
60540753,Ann Patchett
60855925,Terry Pratchett
60934417,Ann Patchett
60958332,Steven Pinker
60958405,Steven Pinker
61020648,Terry Pratchett
61020656,Terry Pratchett
61092177,Terry Pratchett
61161721,Terry Pratchett
66214750,Jacquelyn Mitchard
71414339,Jay P. Decima
72222743,Michael Meyers
72227710,Bill Mann
72227885,Brian Knight
72294337,Mark Grinblatt
72294337,Sheridan Titman
72315318,Robert C. Higgins
130323519,Lawrence Revsine
130323519,Daniel W. Collins
130323519,W. Bruce Johnson
130998516,Ken Coffman
140077022,Don DeLillo
142001740,Sue Monk Kidd
156006219,Ann Patchett
201615762,Ken Henderson
262024829,Simon Benninga
262024829,Benjamin Czaczkes
262232197,Jeffrey M. Wooldridge
262521415,Simon Benninga
312243022,Michael Cunningham
312276702,Matthew Delaney
312287941,Roma Ligocka
312311354,Wladyslaw Szpilman
316096199,Alice Sebold
316602051,James Patterson
316602051,Andrew Gross
316666343,Alice Sebold
321125169,Ben Forta
321125169,Nate Weiss
321125169,Leon Chalnick
321125169,Angela C. Buraglia
324107501,Paul Marcus Fischer
324107501,William James Taylor
324107501,Rita Hartung Cheng
324113641,Jeffrey M. Wooldridge
345336895,Carl Sagan
345376595,Carl Sagan
345409469,Carl Sagan
345452089,Michael Romkey
373218192,Nora Roberts
373218257,Nora Roberts
373272839,Suzanne Brockmann
375508325,Carl Sagan
375703764,Mark Z. Danielewski
385494149,Ian McEwan
385494246,Ian McEwan
385494327,Ian McEwan
385504470,Chuck Palahniuk
393318486,Steven Pinker
393319407,Edward Osborne Wilson
394739698,Virginia McAlester
394739698,Lee McAlester
399149392,Nora Roberts
399149848,Nora Roberts
425188361,Laurell K. Hamilton
440237556,Karen Marie Moning
446527793,Nicholas Sparks
446606812,Nicholas Sparks
446608955,Nicholas Sparks
446676098,Nicholas Sparks
471200247,Ralph Kimball
471200247,Margy Ross
471286168,Francis D. K. Ching
471288217,Francis D. K. Ching
471358983,Francis D. K. Ching
471358983,Cassandra Adams
471363049,Donald E. Kieso
471363049,Jerry J. Weygandt
471363049,Terry D. Warfield
471391123,Steven J. Root
517576600,Donald Kaufman
517576600,Taffy Dahl
517576600,Laurel Graeber
517576600,Tina Freeman
596004478,Tara Calishain
596004478,Rael Dornfest
609610570,Larry Bossidy
609610570,Ram Charan
609610570,Charles Burck
670031518,Steven Pinker
671004107,Carl Sagan
679450785,Edward Osborne Wilson
679722955,Don DeLillo
684843285,Harold McGee
684848155,Don DeLillo
735712123,Paul DuBois
735712360,Scott Kelby
735712379,Scott Kelby
735713170,Scott Kelby
738206679,Albert-L szlÂ¢ Barab si
743206061,Mary Higgins Clark
743206061,Mary Higgins Clark
743222008,Jeffery Deaver
743244249,Don DeLillo
743455967,Stephen King
743457358,Stephen King
743467523,Stephen King
782140114,Paul Litwin
782140114,Ken Getz
782140114,Mike Gunderloy
782140661,Chip Dawes
782140661,Biju Thomas
782140661,Doug Stuns
782140661,Matthew Weishan
782140661,Joseph C. Johnson
787960756,Patrick Lencioni
805317554,Ramez A. Elmasri
805317554,Shamkant B. Navathe
865659982,Gerard Gefen
865659982,Christine Bastin
865659982,Jacques Evrard
972263608,Robert D. Schmidt
1558605525,Ian H. Witten
1558605525,Eibe Frank
1558606432,B. J. Fogg
1561584029,Andy Rae
1561586196,Joseph Truini
1565924916,Gerald Carter
1579550088,Stephen Wolfram
1579902944,Andy Rae
1586851322,Bryan Burkhart
1586851322,Allison Arieff
1586851357,Ralph R. Kylloe
1590520734,Dee Henderson
1861004486,Rob Vieira
1880418568,Stephen King
1880418568,Bernie Wrightson
038572179X,Ian McEwan
067463442X,Edward Osborne Wilson
067976867X,Edward Osborne Wilson
156158648X,Leslie Plummer Clagett